ip,port,org,city,country,ping_ok,ping_avg_ms,ping_loss_pct,tcp_error
134.185.113.150,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.114.211,443,ORACLE-BMC-31898,Belmont,US,false,,100,all_tcp_ports_failed
134.185.114.96,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.116.212,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.118.75,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.82.209,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.84.145,443,ORACLE-BMC-31898,Belmont,US,false,,100,all_tcp_ports_failed
134.185.85.76,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.89.108,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.91.108,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.96.177,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
134.185.97.33,443,Oracle Corporation,Belmont,US,false,,100,all_tcp_ports_failed
137.131.16.222,443,Oracle Corporation,La Jolla,US,false,,100,all_tcp_ports_failed
137.131.29.190,2443,Oracle Corporation,La Jolla,US,false,,100,all_tcp_ports_failed
137.131.8.105,443,Oracle Corporation,La Jolla,US,false,,100,all_tcp_ports_failed
137.131.8.2,443,Oracle Corporation,La Jolla,US,false,,100,all_tcp_ports_failed
137.131.19.74,2053,Oracle Corporation,La Jolla,US,false,,100,all_tcp_ports_failed
138.2.10.226,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.104.238,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
138.2.106.64,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
138.2.11.225,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.110.137,8443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
138.2.111.233,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
138.2.111.37,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
138.2.14.215,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.14.49,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.15.102,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.17.28,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.19.153,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.19.236,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.2.28,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.21.81,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.22.178,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.22.73,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.231.62,443,Oracle Corporation,San Jose,US,false,,100,all_tcp_ports_failed
138.2.3.84,4433,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.29.16,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.26.66,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.29.223,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.3.89,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.30.222,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
138.2.31.137,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
