host,ip,port,protocol,title,domain,country,city,link,org
https://158.178.224.253,158.178.224.253,443,https,403 Forbidden,,SG,Singapore,https://158.178.224.253,Oracle Corporation
https://158.178.234.153,158.178.234.153,443,https,,,SG,Singapore,https://158.178.234.153,Oracle Corporation
129.150.36.185:65,129.150.36.185,65,http,,,SG,Singapore,http://129.150.36.185:65,Oracle Corporation
https://168.138.189.181,168.138.189.181,443,https,403 Forbidden,,SG,Singapore,https://168.138.189.181,Oracle Corporation
129.150.35.29:587,129.150.35.29,587,http,,,SG,Singapore,http://129.150.35.29:587,Oracle Corporation
https://168.138.191.251:8084,168.138.191.251,8084,https,403 Forbidden,,SG,Singapore,https://168.138.191.251:8084,Oracle Corporation
129.150.33.222:8443,129.150.33.222,8443,http,,,SG,Singapore,http://129.150.33.222:8443,Oracle Corporation
https://213.35.113.53:8443,213.35.113.53,8443,https,403 Forbidden,,SG,Singapore,https://213.35.113.53:8443,Oracle Corporation
https://168.138.178.59:8443,168.138.178.59,8443,https,403 Forbidden,,SG,Singapore,https://168.138.178.59:8443,Oracle Corporation
https://s3.188661.xyz:8888,138.2.74.42,8888,https,,188661.xyz,SG,Singapore,https://s3.188661.xyz:8888,Oracle Corporation
213.35.98.77:8443,213.35.98.77,8443,http,,,SG,Singapore,http://213.35.98.77:8443,Oracle Corporation
138.2.110.137:8443,138.2.110.137,8443,http,,,SG,Singapore,http://138.2.110.137:8443,Oracle Corporation
158.178.230.113:8443,158.178.230.113,8443,http,,,SG,Singapore,http://158.178.230.113:8443,Oracle Corporation
https://152.69.221.124:8443,152.69.221.124,8443,https,403 Forbidden,,SG,Singapore,https://152.69.221.124:8443,Oracle Corporation
213.35.104.60,213.35.104.60,80,http,403 Forbidden,,SG,Singapore,http://213.35.104.60,Oracle Corporation
https://138.2.74.42:8888,138.2.74.42,8888,https,403 Forbidden,,SG,Singapore,https://138.2.74.42:8888,Oracle Corporation
https://138.2.92.55:8888,138.2.92.55,8888,https,403 Forbidden,,SG,Singapore,https://138.2.92.55:8888,Oracle Corporation
https://138.2.85.81:2083,138.2.85.81,2083,https,403 Forbidden,,SG,Singapore,https://138.2.85.81:2083,Oracle Corporation
https://213.35.99.111:2053,213.35.99.111,2053,https,403 Forbidden,,SG,Singapore,https://213.35.99.111:2053,Oracle Corporation
https://138.2.80.155,138.2.80.155,443,https,403 Forbidden,,SG,Singapore,https://138.2.80.155,Oracle Corporation
https://138.2.65.212:8880,138.2.65.212,8880,https,403 Forbidden,,SG,Singapore,https://138.2.65.212:8880,Oracle Corporation
https://213.35.107.210,213.35.107.210,443,https,403 Forbidden,,SG,Singapore,https://213.35.107.210,Oracle Corporation
https://138.2.94.138,138.2.94.138,443,https,403 Forbidden,,SG,Singapore,https://138.2.94.138,Oracle Corporation
