host,ip,port,protocol,title,domain,country,city,link,org
192.9.243.199:443,192.9.243.199,443,http,,,US,San Jose,http://192.9.243.199:443,Oracle Corporation
192.9.139.160:443,192.9.139.160,443,http,,,US,San Jose,http://192.9.139.160:443,Oracle Corporation
https://40.233.116.225,40.233.116.225,443,https,403 Forbidden,,US,Belmont,https://40.233.116.225,Oracle Corporation
https://132.145.217.215,132.145.217.215,443,https,403 Forbidden,,US,Ashburn,https://132.145.217.215,Oracle Corporation
140.245.38.33:443,140.245.38.33,443,http,,,US,Belmont,http://140.245.38.33:443,Oracle Corporation
150.136.105.229:443,150.136.105.229,443,http,,,US,Ashburn,http://150.136.105.229:443,Oracle Corporation
64.181.247.243:443,64.181.247.243,443,http,,,US,Belmont,http://64.181.247.243:443,Oracle Corporation
https://134.185.118.75,134.185.118.75,443,https,403 Forbidden,,US,Belmont,https://134.185.118.75,Oracle Corporation
129.146.254.25:443,129.146.254.25,443,http,,,US,Phoenix,http://129.146.254.25:443,Oracle Corporation
https://164.152.30.179,164.152.30.179,443,https,403 Forbidden,,US,Chicago,https://164.152.30.179,Oracle Corporation
https://129.213.60.47,129.213.60.47,443,https,403 Forbidden,,US,Ashburn,https://129.213.60.47,Oracle Corporation
https://129.80.113.95,129.80.113.95,443,https,403 Forbidden,,US,Ashburn,https://129.80.113.95,Oracle Corporation
https://158.179.194.232,158.179.194.232,443,https,403 Forbidden,,US,Redwood,https://158.179.194.232,Oracle Corporation
168.107.16.255:443,168.107.16.255,443,http,,,US,Belmont,http://168.107.16.255:443,Oracle Corporation
https://138.2.238.240,138.2.238.240,443,https,403 Forbidden,,US,San Jose,https://138.2.238.240,Oracle Corporation
129.146.174.117:443,129.146.174.117,443,http,,,US,Phoenix,http://129.146.174.117:443,Oracle Corporation
40.233.82.185:443,40.233.82.185,443,http,,,US,Belmont,http://40.233.82.185:443,Oracle Corporation
https://158.101.47.180,158.101.47.180,443,https,403 Forbidden,,US,Phoenix,https://158.101.47.180,Oracle Corporation
https://146.235.196.203,146.235.196.203,443,https,403 Forbidden,,US,San Jose,https://146.235.196.203,Oracle Corporation
https://150.230.163.176,150.230.163.176,443,https,403 Forbidden,,US,Ashburn,https://150.230.163.176,Oracle Corporation
https://155.248.200.78,155.248.200.78,443,https,403 Forbidden,,US,San Jose,https://155.248.200.78,Oracle Corporation
141.148.161.95:443,141.148.161.95,443,http,,,US,Phoenix,http://141.148.161.95:443,Oracle Corporation
144.24.26.74:443,144.24.26.74,443,http,,,US,Phoenix,http://144.24.26.74:443,Oracle Corporation
146.235.231.239:443,146.235.231.239,443,http,,,US,San Jose,http://146.235.231.239:443,Oracle Corporation
146.235.202.132:443,146.235.202.132,443,http,,,US,San Jose,http://146.235.202.132:443,Oracle Corporation
https://129.153.97.149,129.153.97.149,443,https,403 Forbidden,,US,Phoenix,https://129.153.97.149,Oracle Corporation
192.9.230.55:443,192.9.230.55,443,http,,,US,San Jose,http://192.9.230.55:443,Oracle Corporation
https://141.148.162.193,141.148.162.193,443,https,403 Forbidden,,US,Phoenix,https://141.148.162.193,Oracle Corporation
151.145.76.98:443,151.145.76.98,443,http,,,US,Belmont,http://151.145.76.98:443,Oracle Corporation
168.110.62.86:443,168.110.62.86,443,http,,,US,Miami,http://168.110.62.86:443,Oracle Corporation
150.136.87.192:443,150.136.87.192,443,http,,,US,Ashburn,http://150.136.87.192:443,Oracle Corporation
161.33.197.129:443,161.33.197.129,443,http,,,US,Mobile,http://161.33.197.129:443,Oracle Corporation
https://129.146.104.110,129.146.104.110,443,https,403 Forbidden,,US,Phoenix,https://129.146.104.110,Oracle Corporation
https://64.181.227.54,64.181.227.54,443,https,403 Forbidden,,US,Belmont,https://64.181.227.54,Oracle Corporation
https://140.245.32.180,140.245.32.180,443,https,403 Forbidden,,US,Belmont,https://140.245.32.180,Oracle Corporation
https://159.13.47.219,159.13.47.219,443,https,403 Forbidden,,US,Belmont,https://159.13.47.219,Oracle Corporation
64.181.188.99:443,64.181.188.99,443,http,,,US,Belmont,http://64.181.188.99:443,Oracle Corporation
https://152.70.112.138,152.70.112.138,443,https,403 Forbidden,,US,San Jose,https://152.70.112.138,Oracle Corporation
170.9.43.85:443,170.9.43.85,443,http,,,US,Belmont,http://170.9.43.85:443,Oracle Corporation
161.33.193.130:443,161.33.193.130,443,http,,,US,Mobile,http://161.33.193.130:443,Oracle Corporation
158.179.163.155:443,158.179.163.155,443,http,,,US,Redwood,http://158.179.163.155:443,Oracle Corporation
https://150.136.56.16,150.136.56.16,443,https,403 Forbidden,,US,Ashburn,https://150.136.56.16,Oracle Corporation
https://129.146.55.116,129.146.55.116,443,https,403 Forbidden,,US,Phoenix,https://129.146.55.116,Oracle Corporation
170.9.26.248:443,170.9.26.248,443,http,,,US,Belmont,http://170.9.26.248:443,Oracle Corporation
129.153.115.165:443,129.153.115.165,443,http,,,US,Phoenix,http://129.153.115.165:443,Oracle Corporation
https://150.230.39.166,150.230.39.166,443,https,403 Forbidden,,US,San Jose,https://150.230.39.166,Oracle Corporation
129.159.84.71:443,129.159.84.71,443,http,,,US,Ashburn,http://129.159.84.71:443,Oracle Corporation
129.80.255.149:443,129.80.255.149,443,http,,,US,Ashburn,http://129.80.255.149:443,Oracle Corporation
https://129.146.240.254,129.146.240.254,443,https,403 Forbidden,,US,Phoenix,https://129.146.240.254,Oracle Corporation
https://129.146.3.163,129.146.3.163,443,https,Not Found,,US,Phoenix,https://129.146.3.163,Oracle Corporation
https://40.233.76.142,40.233.76.142,443,https,403 Forbidden,,US,Belmont,https://40.233.76.142,Oracle Corporation
https://129.146.137.136,129.146.137.136,443,https,403 Forbidden,,US,Phoenix,https://129.146.137.136,Oracle Corporation
https://159.54.129.223,159.54.129.223,443,https,403 Forbidden,,US,Belmont,https://159.54.129.223,Oracle Corporation
https://140.245.85.101,140.245.85.101,443,https,403 Forbidden,,US,Belmont,https://140.245.85.101,Oracle Corporation
https://129.153.126.127,129.153.126.127,443,https,,,US,Phoenix,https://129.153.126.127,Oracle Corporation
129.153.96.228:443,129.153.96.228,443,http,,,US,Phoenix,http://129.153.96.228:443,Oracle Corporation
https://129.80.132.4,129.80.132.4,443,https,403 Forbidden,,US,Ashburn,https://129.80.132.4,Oracle Corporation
https://141.148.134.211,141.148.134.211,443,https,403 Forbidden,,US,Phoenix,https://141.148.134.211,Oracle Corporation
https://140.245.53.5,140.245.53.5,443,https,403 Forbidden,,US,Belmont,https://140.245.53.5,Oracle Corporation
140.245.109.39:443,140.245.109.39,443,http,,,US,Belmont,http://140.245.109.39:443,Oracle Corporation
https://150.230.32.248,150.230.32.248,443,https,403 Forbidden,,US,San Jose,https://150.230.32.248,Oracle Corporation
